person,province,party,age,gender
ANTHONY PENDERIS,EASTERN CAPE,A PARTY,50 - 59,Male
JEREMIAH KEKANA,EASTERN CAPE,A PARTY,60 and over,Male
THEMBINKOSI MASINGA,EASTERN CAPE,A PARTY,60 and over,Male
MARIA LOUISA CARTER,EASTERN CAPE,A PARTY,40 - 49,Female
MZWANELE ZULU,EASTERN CAPE,A PARTY,60 and over,Male
TSHIFHIWA SAMUEL MAKHALE,EASTERN CAPE,A PARTY,50 - 59,Male
SHARON PATRICIA PENDERIS,EASTERN CAPE,A PARTY,50 - 59,Female
BROESE PHETHELO PENI,EASTERN CAPE,A PARTY,60 and over,Male
ALEYMARIA MALEFU MAQENA-POTSANE,EASTERN CAPE,A PARTY,50 - 59,Female
ANTHONY PENDERIS,FREE STATE,A PARTY,50 - 59,Male
JEREMIAH KEKANA,FREE STATE,A PARTY,60 and over,Male
THEMBINKOSI MASINGA,FREE STATE,A PARTY,60 and over,Male
MARIA LOUISA CARTER,FREE STATE,A PARTY,40 - 49,Female
MZWANELE ZULU,FREE STATE,A PARTY,60 and over,Male
TSHIFHIWA SAMUEL MAKHALE,FREE STATE,A PARTY,50 - 59,Male
ALEYMARIA MALEFU MAQENA-POTSANE,FREE STATE,A PARTY,50 - 59,Female
BROESE PHETHELO PENI,FREE STATE,A PARTY,60 and over,Male
ALMA DU PLESSIS,FREE STATE,A PARTY,60 and over,Female
MASILONYONE PAULUS PAKATITA,FREE STATE,A PARTY,40 - 49,Male
FULUFHEDZANI MERCY MAKHALE,FREE STATE,A PARTY,60 and over,Female
TSHIMANGADZO ISAAC MAKHALE,FREE STATE,A PARTY,60 and over,Male
ANTHONY PENDERIS,GAUTENG,A PARTY,50 - 59,Male
JEREMIAH KEKANA,GAUTENG,A PARTY,60 and over,Male
THEMBINKOSI MASINGA,GAUTENG,A PARTY,60 and over,Male
MARIA LOUISA CARTER,GAUTENG,A PARTY,40 - 49,Female
MZWANELE ZULU,GAUTENG,A PARTY,60 and over,Male
TSHIFHIWA SAMUEL MAKHALE,GAUTENG,A PARTY,50 - 59,Male
GERT PETRUS ALBERTUS BOOYSEN,GAUTENG,A PARTY,50 - 59,Male
ALMA DU PLESSIS,GAUTENG,A PARTY,60 and over,Female
EMILE LOUW JOUBERT,GAUTENG,A PARTY,60 and over,Male
BAWINILE WINNIE CHAVUMA,GAUTENG,A PARTY,60 and over,Female
WILLIAM MBAZIMA MAPALWENI,GAUTENG,A PARTY,60 and over,Male
MANONI MONYAI,GAUTENG,A PARTY,40 - 49,Female
CHARLES WINSTON BOYLES,GAUTENG,A PARTY,60 and over,Male
LYDIA MOKOENA,GAUTENG,A PARTY,60 and over,Female
LESIBA TIGH LEBELO,GAUTENG,A PARTY,60 and over,Male
BETTY SELLO,GAUTENG,A PARTY,30 - 39,Female
AGNES CHAUKE,GAUTENG,A PARTY,60 and over,Female
THERESA ANN BOYLES,GAUTENG,A PARTY,50 - 59,Female
TUMELO MOTHEO KEKANA,GAUTENG,A PARTY,60 and over,Male
YOLANDA MAGDA CARTER,GAUTENG,A PARTY,60 and over,Female
TSHIMANGADZO ISAAC MAKHALE,GAUTENG,A PARTY,60 and over,Male
MADZUHE ITANI GIDEON MAGORO,GAUTENG,A PARTY,50 - 59,Male
ANTHONY PENDERIS,KWAZULU-NATAL,A PARTY,50 - 59,Male
JEREMIAH KEKANA,KWAZULU-NATAL,A PARTY,60 and over,Male
THEMBINKOSI MASINGA,KWAZULU-NATAL,A PARTY,60 and over,Male
MARIA LOUISA CARTER,KWAZULU-NATAL,A PARTY,40 - 49,Female
MZWANELE ZULU,KWAZULU-NATAL,A PARTY,60 and over,Male
TSHIFHIWA SAMUEL MAKHALE,KWAZULU-NATAL,A PARTY,50 - 59,Male
BAWINILE WINNIE CHAVUMA,KWAZULU-NATAL,A PARTY,60 and over,Female
YOLANDA MAGDA CARTER,KWAZULU-NATAL,A PARTY,60 and over,Female
LYDIA MOKOENA,KWAZULU-NATAL,A PARTY,60 and over,Female
TUMELO MOTHEO KEKANA,KWAZULU-NATAL,A PARTY,60 and over,Male
AGNES CHAUKE,KWAZULU-NATAL,A PARTY,60 and over,Female
MAPITLE SAMUEL MHLANGA,KWAZULU-NATAL,A PARTY,50 - 59,Male
ANTHONY PENDERIS,MPUMALANGA,A PARTY,50 - 59,Male
JEREMIAH KEKANA,MPUMALANGA,A PARTY,60 and over,Male
THEMBINKOSI MASINGA,MPUMALANGA,A PARTY,60 and over,Male
MARIA LOUISA CARTER,MPUMALANGA,A PARTY,40 - 49,Female
MZWANELE ZULU,MPUMALANGA,A PARTY,60 and over,Male
TSHIFHIWA SAMUEL MAKHALE,MPUMALANGA,A PARTY,50 - 59,Male
MARY MULALO DZHALAGOME,MPUMALANGA,A PARTY,40 - 49,Female
MPHEDZISENI RAMALA,MPUMALANGA,A PARTY,60 and over,Male
MMBOSWOBENI SALTHIEL MATAMELA,MPUMALANGA,A PARTY,60 and over,Male
RUDZANI GOGORO,MPUMALANGA,A PARTY,60 and over,Female
LIVHUWANI JEREMIAH MUKWEVHO,MPUMALANGA,A PARTY,60 and over,Male
LIVHUWANI MATHEPHE,MPUMALANGA,A PARTY,60 and over,Female
BETTY RANDIMA,MPUMALANGA,A PARTY,60 and over,Female
ANTHONY PENDERIS,NORTHERN CAPE,A PARTY,50 - 59,Male
JEREMIAH KEKANA,NORTHERN CAPE,A PARTY,60 and over,Male
THEMBINKOSI MASINGA,NORTHERN CAPE,A PARTY,60 and over,Male
MARIA LOUISA CARTER,NORTHERN CAPE,A PARTY,40 - 49,Female
MZWANELE ZULU,NORTHERN CAPE,A PARTY,60 and over,Male
TSHIFHIWA SAMUEL MAKHALE,NORTHERN CAPE,A PARTY,50 - 59,Male
ANTHONY PENDERIS,LIMPOPO,A PARTY,50 - 59,Male
JEREMIAH KEKANA,LIMPOPO,A PARTY,60 and over,Male
THEMBINKOSI MASINGA,LIMPOPO,A PARTY,60 and over,Male
MARIA LOUISA CARTER,LIMPOPO,A PARTY,40 - 49,Female
MZWANELE ZULU,LIMPOPO,A PARTY,60 and over,Male
TSHIFHIWA SAMUEL MAKHALE,LIMPOPO,A PARTY,50 - 59,Male
GERT PETRUS ALBERTUS BOOYSEN,LIMPOPO,A PARTY,50 - 59,Male
FULUFHEDZANI MERCY MAKHALE,LIMPOPO,A PARTY,60 and over,Female
TSHIMANGADZO ISAAC MAKHALE,LIMPOPO,A PARTY,60 and over,Male
MADZUHE ITANI GIDEON MAGORO,LIMPOPO,A PARTY,50 - 59,Male
TONDANI REGINAH MAFADZA,LIMPOPO,A PARTY,60 and over,Female
THINGAAMBI HUMPHREY RATSHILUMELA,LIMPOPO,A PARTY,60 and over,Male
NKHANGWELENI KINGSLEY SIKHWIVHILU,LIMPOPO,A PARTY,60 and over,Male
SHANDUKANI ZACHARIA NEMALILI,LIMPOPO,A PARTY,60 and over,Male
MAKHADO MASITHI,LIMPOPO,A PARTY,60 and over,Male
AZWINNDINI ANNAH TSHABUSE,LIMPOPO,A PARTY,60 and over,Female
MARY MULALO DZHALAGOME,LIMPOPO,A PARTY,40 - 49,Female
MPHEDZISENI RAMALA,LIMPOPO,A PARTY,60 and over,Male
ANTHONY PENDERIS,NORTH WEST,A PARTY,50 - 59,Male
JEREMIAH KEKANA,NORTH WEST,A PARTY,60 and over,Male
THEMBINKOSI MASINGA,NORTH WEST,A PARTY,60 and over,Male
MARIA LOUISA CARTER,NORTH WEST,A PARTY,40 - 49,Female
MZWANELE ZULU,NORTH WEST,A PARTY,60 and over,Male
TSHIFHIWA SAMUEL MAKHALE,NORTH WEST,A PARTY,50 - 59,Male
ALEYMARIA MALEFU MAQENA-POTSANE,NORTH WEST,A PARTY,50 - 59,Female
BROESE PHETHELO PENI,NORTH WEST,A PARTY,60 and over,Male
SHARON PATRICIA PENDERIS,NORTH WEST,A PARTY,50 - 59,Female
MASILONYONE PAULUS PAKATITA,NORTH WEST,A PARTY,40 - 49,Male
MANONI MONYAI,NORTH WEST,A PARTY,40 - 49,Female
MAPITLE SAMUEL MHLANGA,NORTH WEST,A PARTY,50 - 59,Male
BETTY SELLO,NORTH WEST,A PARTY,30 - 39,Female
YOLANDA MAGDA CARTER,NORTH WEST,A PARTY,60 and over,Female
ANTHONY PENDERIS,WESTERN CAPE,A PARTY,50 - 59,Male
JEREMIAH KEKANA,WESTERN CAPE,A PARTY,60 and over,Male
THEMBINKOSI MASINGA,WESTERN CAPE,A PARTY,60 and over,Male
MARIA LOUISA CARTER,WESTERN CAPE,A PARTY,40 - 49,Female
MZWANELE ZULU,WESTERN CAPE,A PARTY,60 and over,Male
TSHIFHIWA SAMUEL MAKHALE,WESTERN CAPE,A PARTY,50 - 59,Male
EMILE LOUW JOUBERT,WESTERN CAPE,A PARTY,60 and over,Male
NAOMI HENRIETTA MALGAS,WESTERN CAPE,A PARTY,60 and over,Female
SHARON PATRICIA PENDERIS,WESTERN CAPE,A PARTY,50 - 59,Female
MASILONYONE PAULUS PAKATITA,WESTERN CAPE,A PARTY,40 - 49,Male
NONDUMISO KEMPELE,WESTERN CAPE,A PARTY,60 and over,Female
LUMUMBA NGAMNTWINI,WESTERN CAPE,A PARTY,60 and over,Male
HILDA NOMSA DEDISO,WESTERN CAPE,A PARTY,60 and over,Female
MAWETHU PAURITIUS HODINI,WESTERN CAPE,A PARTY,60 and over,Male
CYNTHIA NTOMBIZANDILE ZOLA,WESTERN CAPE,A PARTY,60 and over,Female
CHARLES SONWABO DIDI,WESTERN CAPE,A PARTY,60 and over,Male
ANDILE MAMKELI QOBO,WESTERN CAPE,A PARTY,60 and over,Male
ZITHULELE NGESI,WESTERN CAPE,A PARTY,60 and over,Male
NOBUHLE THISANI,WESTERN CAPE,A PARTY,60 and over,Female
ZANELE DORAH FIGLAN,WESTERN CAPE,A PARTY,60 and over,Female
JONGILANGA KENTE,WESTERN CAPE,A PARTY,60 and over,Male
LIVHUWANI MATHEPHE,WESTERN CAPE,A PARTY,60 and over,Female
LUKE MONWABISI QUSE,EASTERN CAPE,AFRICAN CHRISTIAN DEMOCRATIC PARTY,60 and over,Male
LITHA MASIVAKALE NCOKAZI,EASTERN CAPE,AFRICAN CHRISTIAN DEMOCRATIC PARTY,60 and over,Male
HENDRIK JACOBUS MARTHINUS MULLER,FREE STATE,AFRICAN CHRISTIAN DEMOCRATIC PARTY,50 - 59,Male
KHWAILE RUFUS MALATJI,GAUTENG,AFRICAN CHRISTIAN DEMOCRATIC PARTY,50 - 59,Male
MPHO PHANUEL MAMARIGANE,GAUTENG,AFRICAN CHRISTIAN DEMOCRATIC PARTY,50 - 59,Male
NICHOLAS COMBRING FISHER,GAUTENG,AFRICAN CHRISTIAN DEMOCRATIC PARTY,40 - 49,Male
SIMON SIBUSISO BADANILE NZIMANDE,GAUTENG,AFRICAN CHRISTIAN DEMOCRATIC PARTY,60 and over,Male
WAYNE MAXIM THRING,KWAZULU-NATAL,AFRICAN CHRISTIAN DEMOCRATIC PARTY,60 and over,Male
ROSEMARY SIMEON,KWAZULU-NATAL,AFRICAN CHRISTIAN DEMOCRATIC PARTY,60 and over,Female
CELUKWANDA ELVIS MPANZA,KWAZULU-NATAL,AFRICAN CHRISTIAN DEMOCRATIC PARTY,60 and over,Male
SIBONGILE JEANETTE MATHEBULA,MPUMALANGA,AFRICAN CHRISTIAN DEMOCRATIC PARTY,60 and over,Female
MARCIA SARAH MNISI,MPUMALANGA,AFRICAN CHRISTIAN DEMOCRATIC PARTY,60 and over,Female
BAITSENG LILLIAN NTEMBE,NORTHERN CAPE,AFRICAN CHRISTIAN DEMOCRATIC PARTY,60 and over,Female
EDWARD PESULO,LIMPOPO,AFRICAN CHRISTIAN DEMOCRATIC PARTY,60 and over,Male
MOYAHABO KIM MOTHIBE,LIMPOPO,AFRICAN CHRISTIAN DEMOCRATIC PARTY,60 and over,Female
MAGRIETA MAGDALENA BRIEL,NORTH WEST,AFRICAN CHRISTIAN DEMOCRATIC PARTY,60 and over,Female
MOLATLHEGI REUBEN SENOKWANE,NORTH WEST,AFRICAN CHRISTIAN DEMOCRATIC PARTY,60 and over,Male
HENDRY BENJAMIN CUPIDO,WESTERN CAPE,AFRICAN CHRISTIAN DEMOCRATIC PARTY,50 - 59,Male
CATHERINE TERSIA JEANETTE SIMMERS,WESTERN CAPE,AFRICAN CHRISTIAN DEMOCRATIC PARTY,40 - 49,Female
GUGILE ERNEST NKWINTI,EASTERN CAPE,AFRICAN NATIONAL CONGRESS,40 - 49,Male
NKOSINATHI BENSON FIHLA,EASTERN CAPE,AFRICAN NATIONAL CONGRESS,30 - 39,Male
KGOMOTSO RUTH MAGAU,FREE STATE,AFRICAN NATIONAL CONGRESS,60 and over,Female
KOPENG OBED BAPELA,GAUTENG,AFRICAN NATIONAL CONGRESS,50 - 59,Male
MUNTU DOREEN NXUMALO,GAUTENG,AFRICAN NATIONAL CONGRESS,40 - 49,Female
GERHARDUS WILLEM KOORNHOF,GAUTENG,AFRICAN NATIONAL CONGRESS,50 - 59,Male
FARIDA MAHOMED,GAUTENG,AFRICAN NATIONAL CONGRESS,50 - 59,Female
ZEPHROMA SIZANI DUBAZANA,KWAZULU-NATAL,AFRICAN NATIONAL CONGRESS,50 - 59,Female
ZWELIFILE CHRISTOPHER NTULI,KWAZULU-NATAL,AFRICAN NATIONAL CONGRESS,50 - 59,Male
NOKUTHULA BONIFACIA MNGADI,KWAZULU-NATAL,AFRICAN NATIONAL CONGRESS,60 and over,Female
JAMES JIM SKOSANA,MPUMALANGA,AFRICAN NATIONAL CONGRESS,60 and over,Male
VUSELELO VINCENT MAGAGULA,MPUMALANGA,AFRICAN NATIONAL CONGRESS,60 and over,Male
TINA MONICA JOEMAT-PETTERSSON,NORTHERN CAPE,AFRICAN NATIONAL CONGRESS,60 and over,Female
MANANA CATHERINE MABUZA,LIMPOPO,AFRICAN NATIONAL CONGRESS,40 - 49,Female
DIVILI WILSON MAVUNDA,LIMPOPO,AFRICAN NATIONAL CONGRESS,50 - 59,Male
MOLEFI SEFULARO,NORTH WEST,AFRICAN NATIONAL CONGRESS,50 - 59,Male
NOMTHETHO DINAH RAMORWESI,NORTH WEST,AFRICAN NATIONAL CONGRESS,60 and over,Female
XOLISWA CAROLINE MAKASI,WESTERN CAPE,AFRICAN NATIONAL CONGRESS,50 - 59,Female
JACOBUS JOHANNES BRYNARD,WESTERN CAPE,AFRICAN NATIONAL CONGRESS,40 - 49,Male
PHUMZILE HUBERT SONGO,EASTERN CAPE,AFRICAN PEOPLE'S CONVENTION,60 and over,Male
SESOMO SAMUEL SEAKHELA,FREE STATE,AFRICAN PEOPLE'S CONVENTION,40 - 49,Male
ANDREW MODUKANELE BERRIS MODISE,FREE STATE,AFRICAN PEOPLE'S CONVENTION,50 - 59,Male
MOHANOE JOHN MOKOENA,FREE STATE,AFRICAN PEOPLE'S CONVENTION,60 and over,Male
RAMAHLALERWA DOUGLAS MATHUME,GAUTENG,AFRICAN PEOPLE'S CONVENTION,60 and over,Male
VATHISWA MARTINS,GAUTENG,AFRICAN PEOPLE'S CONVENTION,60 and over,Female
DUMISANI WELCOME NGQULUNGA,KWAZULU-NATAL,AFRICAN PEOPLE'S CONVENTION,60 and over,Male
THULANI NICHOLUS XABA,KWAZULU-NATAL,AFRICAN PEOPLE'S CONVENTION,60 and over,Male
XIKOSI ERNEST HLATHI,MPUMALANGA,AFRICAN PEOPLE'S CONVENTION,60 and over,Male
KODWA PAT THEMBA,MPUMALANGA,AFRICAN PEOPLE'S CONVENTION,60 and over,Male
ELIZABETH NGALEKA,NORTHERN CAPE,AFRICAN PEOPLE'S CONVENTION,60 and over,Female
PHADISHE JOHANNES MOLOKOMME,LIMPOPO,AFRICAN PEOPLE'S CONVENTION,60 and over,Male
FRANCE MAKGALA,LIMPOPO,AFRICAN PEOPLE'S CONVENTION,60 and over,Male
MOJALEFA DYKE SEKOSANA,NORTH WEST,AFRICAN PEOPLE'S CONVENTION,40 - 49,Male
BOIKANYO JOHN BAIJANG,NORTH WEST,AFRICAN PEOPLE'S CONVENTION,60 and over,Male
NKOSINATHI SYDNEY MAHALA,WESTERN CAPE,AFRICAN PEOPLE'S CONVENTION,60 and over,Male
MOGAMAD GANIEF EBRAHIM HENDRICKS,EASTERN CAPE,AL JAMA-AH,40 - 49,Male
ABDUL GAMIET FLACKS,EASTERN CAPE,AL JAMA-AH,40 - 49,Male
MOGAMAD GANIEF EBRAHIM HENDRICKS,FREE STATE,AL JAMA-AH,40 - 49,Male
ABDUL GAMIET FLACKS,FREE STATE,AL JAMA-AH,40 - 49,Male
MOGAMAD GANIEF EBRAHIM HENDRICKS,GAUTENG,AL JAMA-AH,40 - 49,Male
ABDUL GAMIET FLACKS,GAUTENG,AL JAMA-AH,40 - 49,Male
ABDOOL RAZAK GOOLAM NOORBHAI,GAUTENG,AL JAMA-AH,50 - 59,Male
SHAUNEEZ AJAT,GAUTENG,AL JAMA-AH,60 and over,Female
SHIREEN DAVIDS,GAUTENG,AL JAMA-AH,50 - 59,Female
SALAMA NOORBHAI,GAUTENG,AL JAMA-AH,50 - 59,Female
MOGAMAD GANIEF EBRAHIM HENDRICKS,KWAZULU-NATAL,AL JAMA-AH,40 - 49,Male
ABDUL GAMIET FLACKS,KWAZULU-NATAL,AL JAMA-AH,40 - 49,Male
FIONA KHAN,KWAZULU-NATAL,AL JAMA-AH,60 and over,Female
HAROON YOUSUPH,KWAZULU-NATAL,AL JAMA-AH,40 - 49,Male
RADIFAI ENOS MODISANE,KWAZULU-NATAL,AL JAMA-AH,50 - 59,Male
MBONGISENI CHRISTIAN KHUMALO,KWAZULU-NATAL,AL JAMA-AH,60 and over,Male
MIKATEKO QUENTIN MANTHOSI,KWAZULU-NATAL,AL JAMA-AH,60 and over,Male
ISMAIL EBRAHIM MANSOOR,KWAZULU-NATAL,AL JAMA-AH,50 - 59,Male
MOGAMAD GANIEF EBRAHIM HENDRICKS,MPUMALANGA,AL JAMA-AH,40 - 49,Male
ABDUL GAMIET FLACKS,MPUMALANGA,AL JAMA-AH,40 - 49,Male
MOGAMAD GANIEF EBRAHIM HENDRICKS,LIMPOPO,AL JAMA-AH,40 - 49,Male
ABDUL GAMIET FLACKS,LIMPOPO,AL JAMA-AH,40 - 49,Male
MOGAMAD GANIEF EBRAHIM HENDRICKS,NORTHERN CAPE,AL JAMA-AH,40 - 49,Male
ABDUL GAMIET FLACKS,NORTHERN CAPE,AL JAMA-AH,40 - 49,Male
MOGAMAD GANIEF EBRAHIM HENDRICKS,NORTH WEST,AL JAMA-AH,40 - 49,Male
ABDUL GAMIET FLACKS,NORTH WEST,AL JAMA-AH,40 - 49,Male
MOGAMAD GANIEF EBRAHIM HENDRICKS,WESTERN CAPE,AL JAMA-AH,40 - 49,Male
ABDUL GAMIET FLACKS,WESTERN CAPE,AL JAMA-AH,40 - 49,Male
BIENIEYAMIEN ALEXANDER,WESTERN CAPE,AL JAMA-AH,40 - 49,Male
ANDILE BETHWELL TSHONA,EASTERN CAPE,ALLIANCE OF FREE DEMOCRATS,60 and over,Male
LERATO ROSLEA DINEKA,FREE STATE,ALLIANCE OF FREE DEMOCRATS,60 and over,Female
ABRAHAM CARL PEDRO,GAUTENG,ALLIANCE OF FREE DEMOCRATS,60 and over,Male
EPHI NONHLANHLA MOTALA,KWAZULU-NATAL,ALLIANCE OF FREE DEMOCRATS,60 and over,Female
MUHLE VALERY NDHLOVU,MPUMALANGA,ALLIANCE OF FREE DEMOCRATS,60 and over,Female
THEMBA JOSEPH SONO,LIMPOPO,ALLIANCE OF FREE DEMOCRATS,40 - 49,Male
MOILA NELSON PAPALA,NORTH WEST,ALLIANCE OF FREE DEMOCRATS,60 and over,Male
DEBORAH NOSISI MFIKI,WESTERN CAPE,ALLIANCE OF FREE DEMOCRATS,50 - 59,Female
SIMPIWE LAWRENCE HASHE,EASTERN CAPE,AZANIAN PEOPLE'S ORGANISATION,60 and over,Male
ZWELINZIMA BENJAMIN MATYU,EASTERN CAPE,AZANIAN PEOPLE'S ORGANISATION,50 - 59,Male
LUYANDA FUNDE,EASTERN CAPE,AZANIAN PEOPLE'S ORGANISATION,60 and over,Male
BASIL CECIL MANNING,GAUTENG,AZANIAN PEOPLE'S ORGANISATION,40 - 49,Male
STEPHEN JABULANI RAKWENA,MPUMALANGA,AZANIAN PEOPLE'S ORGANISATION,60 and over,Male
SEBASTIAN VELI MBELE,NORTHERN CAPE,AZANIAN PEOPLE'S ORGANISATION,60 and over,Male
KWENA CHRISTIAN MAKGOKA,LIMPOPO,AZANIAN PEOPLE'S ORGANISATION,50 - 59,Male
RONALD MTHUTHUZELI MAKHASI,NORTH WEST,AZANIAN PEOPLE'S ORGANISATION,60 and over,Male
MANDULELI MZAYIYA,WESTERN CAPE,AZANIAN PEOPLE'S ORGANISATION,60 and over,Male
SYDNEY MANZOLWANDLE GELANA,EASTERN CAPE,CHRISTIAN DEMOCRATIC ALLIANCE,30 - 39,Male
CHARMAINE ANNE-MARIE ALLISON,EASTERN CAPE,CHRISTIAN DEMOCRATIC ALLIANCE,60 and over,Female
JAN CHRISTOFFEL HENDRIK LANDMAN,FREE STATE,CHRISTIAN DEMOCRATIC ALLIANCE,40 - 49,Male
THEUNIS GUSTAV BOTHA,GAUTENG,CHRISTIAN DEMOCRATIC ALLIANCE,40 - 49,Male
STANLEY LE FLEUR,GAUTENG,CHRISTIAN DEMOCRATIC ALLIANCE,60 and over,Male
MALEKGALE BRENDA NYATHI,GAUTENG,CHRISTIAN DEMOCRATIC ALLIANCE,60 and over,Female
ADRI PRETORIUS,GAUTENG,CHRISTIAN DEMOCRATIC ALLIANCE,60 and over,Female
MARGARET ELIZABETH KIESER,GAUTENG,CHRISTIAN DEMOCRATIC ALLIANCE,50 - 59,Female
SANNA STASIE,NORTHERN CAPE,CHRISTIAN DEMOCRATIC ALLIANCE,60 and over,Female
EVAN NQELE VOYI,NORTH WEST,CHRISTIAN DEMOCRATIC ALLIANCE,60 and over,Male
KEVIN GRAHAM SOUTHGATE,WESTERN CAPE,CHRISTIAN DEMOCRATIC ALLIANCE,50 - 59,Male
RIVKA HOOSAIN,WESTERN CAPE,CHRISTIAN DEMOCRATIC ALLIANCE,60 and over,Female
MAKHOSAZANA ABIGAIL ALICIA NJOBE,EASTERN CAPE,CONGRESS OF THE PEOPLE,30 - 39,Female
BONIWE VERONICA MOLESHE,EASTERN CAPE,CONGRESS OF THE PEOPLE,40 - 49,Female
DIRATSAGAE ALFRED KGANARE,FREE STATE,CONGRESS OF THE PEOPLE,50 - 59,Male
NOLITHA YVONNE VUKUZA-LINDA,GAUTENG,CONGRESS OF THE PEOPLE,50 - 59,Female
SIPHO ALI NGHONA,GAUTENG,CONGRESS OF THE PEOPLE,60 and over,Male
SEKOLOKOLO SAMSON PHAKWAGO,GAUTENG,CONGRESS OF THE PEOPLE,50 - 59,Male
GRAHAM PETER DALZIEL MAC KENZIE,KWAZULU-NATAL,CONGRESS OF THE PEOPLE,50 - 59,Male
NOBUBELE POTWANA,KWAZULU-NATAL,CONGRESS OF THE PEOPLE,50 - 59,Female
LOURENS JOHANNES THERON,MPUMALANGA,CONGRESS OF THE PEOPLE,60 and over,Male
SANNA KEIKANTSEENG MOLAO,NORTHERN CAPE,CONGRESS OF THE PEOPLE,60 and over,Female
WILLIAM MOTHIPA MADISHA,LIMPOPO,CONGRESS OF THE PEOPLE,60 and over,Male
PAUL BUSHY MNGUNI,NORTH WEST,CONGRESS OF THE PEOPLE,60 and over,Male
PHILLIP DAVID DEXTER,WESTERN CAPE,CONGRESS OF THE PEOPLE,60 and over,Male
BUYISWA CYLDA RWEXWANA,WESTERN CAPE,CONGRESS OF THE PEOPLE,50 - 59,Female
ROLAND ATHOL PRICE TROLLIP,EASTERN CAPE,DEMOCRATIC ALLIANCE,60 and over,Male
KEVIN JOHN MILEHAM,EASTERN CAPE,DEMOCRATIC ALLIANCE,60 and over,Male
MZWANDILE NELSON DUMSE,EASTERN CAPE,DEMOCRATIC ALLIANCE,50 - 59,Male
NOMAWABO NTOLOSI,EASTERN CAPE,DEMOCRATIC ALLIANCE,60 and over,Female
ISAAC ADAMS,EASTERN CAPE,DEMOCRATIC ALLIANCE,40 - 49,Male
GERT JACOBUS BENJAMIN STOLS,EASTERN CAPE,DEMOCRATIC ALLIANCE,60 and over,Male
JACOBUS SCHMIDT,FREE STATE,DEMOCRATIC ALLIANCE,60 and over,Male
ROY JANKIELSOHN,FREE STATE,DEMOCRATIC ALLIANCE,60 and over,Male
SIDNEY EDWIN LEECH,FREE STATE,DEMOCRATIC ALLIANCE,60 and over,Male
IAN ORMISTON DAVIDSON,GAUTENG,DEMOCRATIC ALLIANCE,50 - 59,Male
JAMES ROBERT BOURNE LORIMER,GAUTENG,DEMOCRATIC ALLIANCE,60 and over,Male
GEORGE GAOLATLHE BOINAMO,GAUTENG,DEMOCRATIC ALLIANCE,40 - 49,Male
CHRISTIAN HENDRIK BOSHOFF,GAUTENG,DEMOCRATIC ALLIANCE,50 - 59,Male
NEIL GORDON CAMPBELL,GAUTENG,DEMOCRATIC ALLIANCE,50 - 59,Male
SAMANTHA NAIR,GAUTENG,DEMOCRATIC ALLIANCE,50 - 59,Female
JOHN EDWARD SLOAN,GAUTENG,DEMOCRATIC ALLIANCE,30 - 39,Male
MICHAEL JOHN MASON,GAUTENG,DEMOCRATIC ALLIANCE,40 - 49,Male
VASCO MANUEL DA GAMA,GAUTENG,DEMOCRATIC ALLIANCE,50 - 59,Male
JOHN GARTON BARROW,GAUTENG,DEMOCRATIC ALLIANCE,40 - 49,Male
EULBRI MAGESI KUBAYI,GAUTENG,DEMOCRATIC ALLIANCE,60 and over,Male
MICHAEL JAMES ELLIS,KWAZULU-NATAL,DEMOCRATIC ALLIANCE,40 - 49,Male
RORY DEAN MACPHERSON,KWAZULU-NATAL,DEMOCRATIC ALLIANCE,60 and over,Male
SUSAN MARY BURROWS,KWAZULU-NATAL,DEMOCRATIC ALLIANCE,50 - 59,Female
RONALD JAMES GLAISTER,KWAZULU-NATAL,DEMOCRATIC ALLIANCE,30 - 39,Male
THEMBINKOSI INNOCENT MAGAGULA,KWAZULU-NATAL,DEMOCRATIC ALLIANCE,60 and over,Male
MARION ANN MOSTERT,KWAZULU-NATAL,DEMOCRATIC ALLIANCE,40 - 49,Female
KEVIN PRINSLOO,KWAZULU-NATAL,DEMOCRATIC ALLIANCE,60 and over,Male
JAN CHRISTOFFEL VAN DEN BERG,KWAZULU-NATAL,DEMOCRATIC ALLIANCE,60 and over,Male
FLORENCE FRANCES ABRAMSON,KWAZULU-NATAL,DEMOCRATIC ALLIANCE,less than 30,Female
LOURENS LEMMER BOSMAN,MPUMALANGA,DEMOCRATIC ALLIANCE,40 - 49,Male
MARY ANGELA TAYLOR,MPUMALANGA,DEMOCRATIC ALLIANCE,40 - 49,Female
MOSALA WALTER KOENA,MPUMALANGA,DEMOCRATIC ALLIANCE,60 and over,Male
THAMI DAVID NXUMALO,MPUMALANGA,DEMOCRATIC ALLIANCE,40 - 49,Male
ANDREW LOUW,NORTHERN CAPE,DEMOCRATIC ALLIANCE,60 and over,Male
CATHARINA MARIA JANSE VAN RENSBURG,NORTHERN CAPE,DEMOCRATIC ALLIANCE,60 and over,Female
DÉSIRÉE VAN DER WALT,LIMPOPO,DEMOCRATIC ALLIANCE,50 - 59,Female
SIMON OUPA SOMO,LIMPOPO,DEMOCRATIC ALLIANCE,60 and over,Male
MBULAWA ELIAS KABINI,LIMPOPO,DEMOCRATIC ALLIANCE,60 and over,Male
ANNE KIRKPATRICK,LIMPOPO,DEMOCRATIC ALLIANCE,50 - 59,Female
